Torque,Speed
20,0
20.1467,0.2
20.2944,0.401467
20.4432,0.604411
20.5932,0.808843
20.7442,1.01477
20.8963,1.22222
21.0495,1.43118
21.2039,1.64167
21.3594,1.85371
21.516,2.06731
21.6738,2.28247
21.8328,2.49921
21.9929,2.71753
22.1541,2.93746
22.3166,3.159
22.4803,3.38217
22.6451,3.60697
22.8112,3.83342
22.9785,4.06153
23.147,4.29132
23.3167,4.52279
23.4877,4.75596
23.6599,4.99083
23.8335,5.22743
24.0082,5.46577
24.1843,5.70585
24.3616,5.94769
24.5403,6.19131
24.7203,6.43671
24.9015,6.68391
25.0841,6.93293
25.2681,7.18377
25.4534,7.43645
25.6401,7.69099
25.8281,7.94739
26.0175,8.20567
26.2083,8.46584
26.4005,8.72793
26.5941,8.99193
26.7891,9.25787
26.9856,9.52576
27.1835,9.79562
27.3828,10.0675
27.5836,10.3413
27.7859,10.6171
27.9896,10.895
28.1949,11.1749
28.4017,11.4568
28.6099,11.7408
28.8198,12.0269
29.0311,12.3151
29.244,12.6054
29.4584,12.8979
29.6745,13.1925
29.8921,13.4892
30.1113,13.7881
30.3321,14.0892
30.5546,14.3926
30.7786,14.6981
31.0043,15.0059
31.2317,15.3159
31.4607,15.6283
31.6914,15.9429
31.9238,16.2598
32.1579,16.579
32.3938,16.9006
32.6313,17.2245
32.8706,17.5509
33.1117,17.8796
33.3545,18.2107
33.5991,18.5442
33.8455,18.8802
34.0937,19.2187
34.3437,19.5596
34.5956,19.903
34.8493,20.249
35.1048,20.5975
35.3623,20.9485
35.6216,21.3022
35.8828,21.6584
36.1459,22.0172
36.411,22.3787
36.678,22.7428
36.947,23.1096
37.2179,23.479
37.4909,23.8512
37.7658,24.2261
38.0428,24.6038
38.3217,24.9842
38.6028,25.3674
38.8859,25.7534
39.171,26.1423
39.4583,26.534
39.7476,26.9286
40.0391,27.3261
40.3327,27.7265
40.6285,28.1298
40.9265,28.5361
41.2266,28.9453
41.5289,29.3576
41.8335,29.7729
42.1402,30.1912
42.4493,30.6126
42.7606,31.0371
43.0741,31.4647
43.39,31.8955
43.7082,32.3294
44.0287,32.7665
44.3516,33.2067
44.6769,33.6503
45.0045,34.097
45.3345,34.5471
45.667,35.0004
46.0019,35.4571
46.3392,35.9171
46.679,36.3805
47.0213,36.8473
47.3662,37.3175
47.7135,37.7912
48.0634,38.2683
48.4159,38.7489
48.7709,39.2331
49.1286,39.7208
49.4889,40.2121
49.8518,40.707
50.2174,41.2055
50.5856,41.7077
50.9566,42.2135
51.3303,42.7231
51.7067,43.2364
52.0859,43.7535
52.4678,44.2743
52.8526,44.799
53.2402,45.3275
53.6306,45.8599
54.0239,46.3962
54.4201,46.9365
54.8192,47.4807
55.2212,48.0289
55.6261,48.5811
56.034,49.1373
56.445,49.6977
56.8589,50.2621
57.2759,50.8307
57.6959,51.4035
58.119,51.9804
58.5452,52.5616
58.9745,53.1471
59.407,53.7368
59.8426,54.3309
60.2815,54.9293
60.7236,55.5321
61.1689,56.1394
61.6174,56.751
62.0693,57.3672
62.5245,57.9879
62.983,58.6132
63.4449,59.243
63.9101,59.8774
64.3788,60.5165
64.8509,61.1603
65.3265,61.8088
65.8055,62.4621
66.2881,63.1202
66.7742,63.783
67.2639,64.4508
67.7572,65.1234
68.2541,65.801
68.7546,66.4835
69.2588,67.1711
69.7667,67.8637
70.2783,68.5613
70.7937,69.2641
71.3128,69.9721
71.8358,70.6852
72.3626,71.4035
72.8933,72.1272
73.4278,72.8561
73.9663,73.5904
74.5087,74.33
75.025,75.0751
75.2751,75.8254
75.526,76.5781
75.7778,77.3334
76.0304,78.0912
76.2838,78.8515
76.5381,79.6143
76.7932,80.3797
77.0492,81.1476
77.306,81.9181
77.5637,82.6912
77.8223,83.4668
78.0817,84.245
78.3419,85.0258
78.6031,85.8093
78.8651,86.5953
79.128,87.3839
79.3917,88.1752
79.6564,88.9691
79.9219,89.7657
80.1883,90.5649
80.4556,91.3668
80.7238,92.1714
80.9929,92.9786
81.2628,93.7885
81.5337,94.6012
81.8055,95.4165
